Tick;Step;ID
0;0;dde95fd4-5078-4e26-877d-087b0e809876
0;0;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
0;0;6a8cde9d-2e73-4894-a015-c9f29e03e6df
0;0;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
0;0;99a685cb-de85-41cf-9d6c-23159af52d5d
1;1;dde95fd4-5078-4e26-877d-087b0e809876
1;1;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
1;1;6a8cde9d-2e73-4894-a015-c9f29e03e6df
1;1;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
1;1;99a685cb-de85-41cf-9d6c-23159af52d5d
2;2;dde95fd4-5078-4e26-877d-087b0e809876
2;2;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
2;2;6a8cde9d-2e73-4894-a015-c9f29e03e6df
2;2;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
2;2;99a685cb-de85-41cf-9d6c-23159af52d5d
3;3;dde95fd4-5078-4e26-877d-087b0e809876
3;3;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
3;3;6a8cde9d-2e73-4894-a015-c9f29e03e6df
3;3;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
3;3;99a685cb-de85-41cf-9d6c-23159af52d5d
4;4;dde95fd4-5078-4e26-877d-087b0e809876
4;4;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
4;4;6a8cde9d-2e73-4894-a015-c9f29e03e6df
4;4;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
4;4;99a685cb-de85-41cf-9d6c-23159af52d5d
5;5;dde95fd4-5078-4e26-877d-087b0e809876
5;5;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
5;5;6a8cde9d-2e73-4894-a015-c9f29e03e6df
5;5;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
5;5;99a685cb-de85-41cf-9d6c-23159af52d5d
6;6;dde95fd4-5078-4e26-877d-087b0e809876
6;6;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
6;6;6a8cde9d-2e73-4894-a015-c9f29e03e6df
6;6;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
6;6;99a685cb-de85-41cf-9d6c-23159af52d5d
7;7;dde95fd4-5078-4e26-877d-087b0e809876
7;7;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
7;7;6a8cde9d-2e73-4894-a015-c9f29e03e6df
7;7;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
7;7;99a685cb-de85-41cf-9d6c-23159af52d5d
8;8;dde95fd4-5078-4e26-877d-087b0e809876
8;8;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
8;8;6a8cde9d-2e73-4894-a015-c9f29e03e6df
8;8;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
8;8;99a685cb-de85-41cf-9d6c-23159af52d5d
9;9;dde95fd4-5078-4e26-877d-087b0e809876
9;9;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
9;9;6a8cde9d-2e73-4894-a015-c9f29e03e6df
9;9;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
9;9;99a685cb-de85-41cf-9d6c-23159af52d5d
10;10;dde95fd4-5078-4e26-877d-087b0e809876
10;10;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
10;10;6a8cde9d-2e73-4894-a015-c9f29e03e6df
10;10;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
10;10;99a685cb-de85-41cf-9d6c-23159af52d5d
11;11;dde95fd4-5078-4e26-877d-087b0e809876
11;11;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
11;11;6a8cde9d-2e73-4894-a015-c9f29e03e6df
11;11;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
11;11;99a685cb-de85-41cf-9d6c-23159af52d5d
12;12;dde95fd4-5078-4e26-877d-087b0e809876
12;12;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
12;12;6a8cde9d-2e73-4894-a015-c9f29e03e6df
12;12;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
