Tick;Step;DateTime;ID
0;0;2021-01-01T11:00:00.0000000+01:00;e7c373a6-4f60-4419-8aba-18393c79ed14
0;0;2021-01-01T11:00:00.0000000+01:00;ee2e4319-221c-47a9-8c27-ab92a39e832d
0;0;2021-01-01T11:00:00.0000000+01:00;2205b456-3d0b-43d3-bf1c-167395c909c4
1;1;2021-01-01T11:00:01.0000000+01:00;e7c373a6-4f60-4419-8aba-18393c79ed14
1;1;2021-01-01T11:00:01.0000000+01:00;ee2e4319-221c-47a9-8c27-ab92a39e832d
1;1;2021-01-01T11:00:01.0000000+01:00;2205b456-3d0b-43d3-bf1c-167395c909c4
2;2;2021-01-01T11:00:02.0000000+01:00;e7c373a6-4f60-4419-8aba-18393c79ed14
2;2;2021-01-01T11:00:02.0000000+01:00;ee2e4319-221c-47a9-8c27-ab92a39e832d
2;2;2021-01-01T11:00:02.0000000+01:00;2205b456-3d0b-43d3-bf1c-167395c909c4
3;3;2021-01-01T11:00:03.0000000+01:00;e7c373a6-4f60-4419-8aba-18393c79ed14
3;3;2021-01-01T11:00:03.0000000+01:00;ee2e4319-221c-47a9-8c27-ab92a39e832d
3;3;2021-01-01T11:00:03.0000000+01:00;2205b456-3d0b-43d3-bf1c-167395c909c4
4;4;2021-01-01T11:00:04.0000000+01:00;e7c373a6-4f60-4419-8aba-18393c79ed14
4;4;2021-01-01T11:00:04.0000000+01:00;ee2e4319-221c-47a9-8c27-ab92a39e832d
4;4;2021-01-01T11:00:04.0000000+01:00;2205b456-3d0b-43d3-bf1c-167395c909c4
5;5;2021-01-01T11:00:05.0000000+01:00;e7c373a6-4f60-4419-8aba-18393c79ed14
5;5;2021-01-01T11:00:05.0000000+01:00;ee2e4319-221c-47a9-8c27-ab92a39e832d
5;5;2021-01-01T11:00:05.0000000+01:00;2205b456-3d0b-43d3-bf1c-167395c909c4
6;6;2021-01-01T11:00:06.0000000+01:00;e7c373a6-4f60-4419-8aba-18393c79ed14
6;6;2021-01-01T11:00:06.0000000+01:00;ee2e4319-221c-47a9-8c27-ab92a39e832d
6;6;2021-01-01T11:00:06.0000000+01:00;2205b456-3d0b-43d3-bf1c-167395c909c4
7;7;2021-01-01T11:00:07.0000000+01:00;e7c373a6-4f60-4419-8aba-18393c79ed14
7;7;2021-01-01T11:00:07.0000000+01:00;ee2e4319-221c-47a9-8c27-ab92a39e832d
7;7;2021-01-01T11:00:07.0000000+01:00;2205b456-3d0b-43d3-bf1c-167395c909c4
8;8;2021-01-01T11:00:08.0000000+01:00;e7c373a6-4f60-4419-8aba-18393c79ed14
8;8;2021-01-01T11:00:08.0000000+01:00;ee2e4319-221c-47a9-8c27-ab92a39e832d
8;8;2021-01-01T11:00:08.0000000+01:00;2205b456-3d0b-43d3-bf1c-167395c909c4
9;9;2021-01-01T11:00:09.0000000+01:00;e7c373a6-4f60-4419-8aba-18393c79ed14
9;9;2021-01-01T11:00:09.0000000+01:00;ee2e4319-221c-47a9-8c27-ab92a39e832d
9;9;2021-01-01T11:00:09.0000000+01:00;2205b456-3d0b-43d3-bf1c-167395c909c4
10;10;2021-01-01T11:00:10.0000000+01:00;e7c373a6-4f60-4419-8aba-18393c79ed14
10;10;2021-01-01T11:00:10.0000000+01:00;ee2e4319-221c-47a9-8c27-ab92a39e832d
10;10;2021-01-01T11:00:10.0000000+01:00;2205b456-3d0b-43d3-bf1c-167395c909c4
11;11;2021-01-01T11:00:11.0000000+01:00;e7c373a6-4f60-4419-8aba-18393c79ed14
11;11;2021-01-01T11:00:11.0000000+01:00;ee2e4319-221c-47a9-8c27-ab92a39e832d
