Tick;Step;DateTime;ID
0;0;2021-01-01T11:00:00.0000000+01:00;a418bf99-861c-4f73-8cba-3d64168a718b
0;0;2021-01-01T11:00:00.0000000+01:00;9b084847-3185-4e80-ba35-5dc1373cd904
0;0;2021-01-01T11:00:00.0000000+01:00;56683c09-34f9-42b8-964d-e5a47c623429
1;1;2021-01-01T11:00:01.0000000+01:00;a418bf99-861c-4f73-8cba-3d64168a718b
1;1;2021-01-01T11:00:01.0000000+01:00;9b084847-3185-4e80-ba35-5dc1373cd904
1;1;2021-01-01T11:00:01.0000000+01:00;56683c09-34f9-42b8-964d-e5a47c623429
2;2;2021-01-01T11:00:02.0000000+01:00;a418bf99-861c-4f73-8cba-3d64168a718b
2;2;2021-01-01T11:00:02.0000000+01:00;9b084847-3185-4e80-ba35-5dc1373cd904
2;2;2021-01-01T11:00:02.0000000+01:00;56683c09-34f9-42b8-964d-e5a47c623429
3;3;2021-01-01T11:00:03.0000000+01:00;a418bf99-861c-4f73-8cba-3d64168a718b
3;3;2021-01-01T11:00:03.0000000+01:00;9b084847-3185-4e80-ba35-5dc1373cd904
3;3;2021-01-01T11:00:03.0000000+01:00;56683c09-34f9-42b8-964d-e5a47c623429
4;4;2021-01-01T11:00:04.0000000+01:00;a418bf99-861c-4f73-8cba-3d64168a718b
4;4;2021-01-01T11:00:04.0000000+01:00;9b084847-3185-4e80-ba35-5dc1373cd904
4;4;2021-01-01T11:00:04.0000000+01:00;56683c09-34f9-42b8-964d-e5a47c623429
5;5;2021-01-01T11:00:05.0000000+01:00;a418bf99-861c-4f73-8cba-3d64168a718b
5;5;2021-01-01T11:00:05.0000000+01:00;9b084847-3185-4e80-ba35-5dc1373cd904
5;5;2021-01-01T11:00:05.0000000+01:00;56683c09-34f9-42b8-964d-e5a47c623429
6;6;2021-01-01T11:00:06.0000000+01:00;a418bf99-861c-4f73-8cba-3d64168a718b
6;6;2021-01-01T11:00:06.0000000+01:00;9b084847-3185-4e80-ba35-5dc1373cd904
6;6;2021-01-01T11:00:06.0000000+01:00;56683c09-34f9-42b8-964d-e5a47c623429
7;7;2021-01-01T11:00:07.0000000+01:00;a418bf99-861c-4f73-8cba-3d64168a718b
7;7;2021-01-01T11:00:07.0000000+01:00;9b084847-3185-4e80-ba35-5dc1373cd904
7;7;2021-01-01T11:00:07.0000000+01:00;56683c09-34f9-42b8-964d-e5a47c623429
8;8;2021-01-01T11:00:08.0000000+01:00;a418bf99-861c-4f73-8cba-3d64168a718b
8;8;2021-01-01T11:00:08.0000000+01:00;9b084847-3185-4e80-ba35-5dc1373cd904
8;8;2021-01-01T11:00:08.0000000+01:00;56683c09-34f9-42b8-964d-e5a47c623429
9;9;2021-01-01T11:00:09.0000000+01:00;a418bf99-861c-4f73-8cba-3d64168a718b
9;9;2021-01-01T11:00:09.0000000+01:00;9b084847-3185-4e80-ba35-5dc1373cd904
9;9;2021-01-01T11:00:09.0000000+01:00;56683c09-34f9-42b8-964d-e5a47c623429
10;10;2021-01-01T11:00:10.0000000+01:00;a418bf99-861c-4f73-8cba-3d64168a718b
