Region,RefPop
Aleppo,1121094
Deir-ez-Zor,79294
Idleb,406725
Quneitra,1241
Lattakia,12648
Al-Hasakeh,83320
Homs,71342
Ar-Raqqa,109433
Rural Damascus,175537
Tartous,6955
As-Sweida,4486
Hama,18987
Dar'a,261709
Damascus,59
