Region,RefPop
Aleppo,1054293
Deir-ez-Zor,79821
Idleb,486803
Quneitra,1483
Lattakia,20045
Al-Hasakeh,86841
Homs,76660
Ar-Raqqa,105054
Rural Damascus,148583
Tartous,7972
As-Sweida,4180
Hama,12052
Dar'a,254299
Damascus,137
