Region,InitPop
Al Bab,146944
A'zaz,125952
Abu Kamal,11400
Menbij,83968
Idleb,131845
Afrin,146944
Ain Al Arab,62976
Al Fiq,2206
Al-Haffa,3450
Al-Hasakeh,24227
Quneitra,4412
Al-Malikeyyeh,10383
Al-Qardaha,2760
Al-Qusayr,2501
Ath-Thawrah,22053
Al Makhrim,5002
Al Mayadin,8550
Al Qutayfah,16100
Quamishli,13844
An Nabk,8050
Qadmous,1992
Ar-Raqqa,29404
Ar-Rastan,5002
Rural Damascus,28175
Ariha,56505
Shahba,3980
Harim,113010
Tartous,3486
As-Salamiyeh,10885
As-Safira,83968
As-Sanamayn,40068
As-Suqaylabiyah,10885
As-Sweida,2985
Dar'a,106848
At Tall,12075
Jebel Saman,146944
Az-Zabdani,20125
Jisr-Ash-Shugur,75340
Lattakia,4830
Qatana,12075
Banyas,1494
Sheikh Badr,1494
Safita,2988
Deir-ez-Zor,19950
Jablah,4140
Damascus,30393
Ras Al Ain,6922
Duma,28175
Dreikish,1992
Homs,30012
Masyaf,10885
Tell Abiad,22053
Yabroud,8050
Jarablus,41984
Salkhad,4975
Tall Kalakh,10004
Darayya,12075
Hama,8708
Al Ma'ra,113010
Izra',80136
Muhradah,6531
Tadmor,5002
