,event_id_cnty,day,month,year,location,latitude,longitude
0,SYR109663,31,12,2022,Afrin,36.5111,36.8655
1,SYR109664,31,12,2022,Jandairis,36.3925,36.6896
2,SYR109665,31,12,2022,Hole Camp,36.3768,41.1333
3,SYR109685,31,12,2022,Al Shanan,34.9708,40.5641
4,SYR109693,31,12,2022,Menbij,36.5258,37.951
5,SYR109702,31,12,2022,Afrin,36.5111,36.8655
6,SYR109707,31,12,2022,Ash Shula,35.1772,39.8457
7,SYR109712,31,12,2022,Tadaf,36.3479,37.5294
8,SYR109719,31,12,2022,Kafr Battikh,35.7819,36.7255
9,SYR109726,31,12,2022,Taqad,36.1987,36.8698
10,SYR109736,31,12,2022,Al Bab,36.3697,37.5149
11,SYR109743,31,12,2022,Al Atila,36.1354,40.6838
12,SYR109744,31,12,2022,Hreiji,35.3851,40.6149
13,SYR109745,31,12,2022,Fadghami,35.9019,40.8873
14,SYR109751,31,12,2022,Shadir,36.3687,36.8293
15,SYR109758,31,12,2022,Afrin,36.5111,36.8655
16,SYR109771,31,12,2022,Eastern Ghariyeh,32.6782,36.2581
17,SYR109813,31,12,2022,Al-Rasafah,35.6288,38.7581
18,SYR109820,31,12,2022,Shadadah,36.0534,40.7268
19,SYR109848,31,12,2022,Bahfis,36.1838,36.9063
20,SYR109849,31,12,2022,Kafr Noran,36.078,36.8322
21,SYR109850,31,12,2022,Nayrab,35.8692,36.7183
22,SYR109851,31,12,2022,Taqad,36.1987,36.8698
23,SYR109852,31,12,2022,Bara,35.686,36.5424
24,SYR109853,31,12,2022,Kansafra,35.6599,36.4849
25,SYR109854,31,12,2022,Maaret Al Naasan,36.0351,36.8376
26,SYR109875,31,12,2022,Tall Refaat,36.4726,37.0941
27,SYR109883,31,12,2022,Bahsa,35.6799,36.2762
28,SYR109884,31,12,2022,Barakeh,35.6744,36.2711
29,SYR109885,31,12,2022,Jurin,35.6162,36.2693
30,SYR109886,31,12,2022,Qalat Mirza,35.6563,36.2711
31,SYR109887,31,12,2022,Regiment 46 - Military Base,36.1239,36.888
32,SYR109888,31,12,2022,Saraqab,35.8611,36.8061
33,TUR28490,31,12,2022,Nusaybin,37.0707,41.2134
34,SYR109947,31,12,2022,Al Shanan,34.9708,40.5641
35,SYR109701,31,12,2022,Abul Nitel,35.4627,40.6659
36,SYR109617,30,12,2022,Shadadah,36.0534,40.7268
37,SYR109619,30,12,2022,Aziziyeh,36.7907,39.9787
38,SYR109620,30,12,2022,Khasham,35.2984,40.2894
39,SYR109621,30,12,2022,Regiment 46 - Military Base,36.1239,36.888
40,SYR109622,30,12,2022,Basufan,36.3411,36.8736
41,SYR109623,30,12,2022,Maaret Al Naasan,36.0351,36.8376
42,SYR109625,30,12,2022,Tal Hmis,36.7561,41.3975
43,SYR109818,30,12,2022,Al-Rasafah,35.6288,38.7581
44,SYR109709,30,12,2022,Tadmor,34.5656,38.2877
45,SYR109807,30,12,2022,Al-Teem - Oil Field,35.2035,40.0829
46,TUR28384,30,12,2022,Cukurambar,39.9056,32.8003
47,SYR109305,29,12,2022,Daret Azza,36.285,36.8511
48,SYR109306,29,12,2022,Ruwaiha,35.7378,36.695
49,SYR109397,29,12,2022,Karama,35.8699,39.2813
50,SYR109398,29,12,2022,Mhemideh,35.4429,40.0862
51,SYR109401,29,12,2022,Kafr Noran,36.078,36.8322
52,SYR109402,29,12,2022,Safya,36.6085,40.7695
53,SYR109403,29,12,2022,Shaykh Sulayman,36.2761,36.9096
54,SYR109404,29,12,2022,Idleb,35.929,36.6353
55,SYR109406,29,12,2022,Regiment 46 - Military Base,36.1239,36.888
56,SYR109407,29,12,2022,Tuways,36.434,37.3024
57,SYR109419,29,12,2022,Ghazawiyah,36.3768,36.8417
58,SYR109421,29,12,2022,Kafr Amma,36.1409,36.8735
59,SYR109422,29,12,2022,Termanin,36.2284,36.8152
60,SYR109423,29,12,2022,Daret Azza,36.285,36.8511
61,SYR109425,29,12,2022,Basufan,36.3411,36.8736
62,SYR109427,29,12,2022,Kafr Aleppo,36.0598,36.8695
63,SYR109429,29,12,2022,Abu Rasin,36.8465,40.3284
64,SYR109430,29,12,2022,Abu Rasin,36.8465,40.3284
65,SYR109431,29,12,2022,Dada Abdal,36.8908,40.3375
66,SYR109432,29,12,2022,Abu Rasin,36.8465,40.3284
67,SYR109440,29,12,2022,Um Harmala,36.6589,40.0062
68,SYR109441,29,12,2022,Busraton,36.2028,36.9104
69,SYR109451,29,12,2022,Qebtan al Jabal,36.2637,36.9487
70,SYR109458,29,12,2022,Mare',36.4827,37.1965
71,SYR109459,29,12,2022,Al-Malikeyyeh,37.1745,42.1403
72,SYR109460,29,12,2022,Shiheil,35.092,40.4543
73,SYR109461,29,12,2022,Ein Issa,36.3837,38.8628
74,SYR109511,29,12,2022,Ithariyah,35.3652,37.7886
75,SYR109512,29,12,2022,Tall al Jabiyah,32.9199,36.0
76,SYR109513,29,12,2022,Tal Hmis,36.7561,41.3975
77,SYR109514,29,12,2022,Jdaidat Kahit,35.8672,39.3399
78,SYR109613,29,12,2022,Kirzele,36.4672,36.8872
79,SYR109614,29,12,2022,Da'el,32.7544,36.1311
80,SYR109706,29,12,2022,Tadmor,34.5656,38.2877
81,SYR109731,29,12,2022,Mayselun,36.0551,38.9458
82,SYR109732,29,12,2022,Ar-Raqqa,35.9428,39.0519
83,SYR109396,29,12,2022,Hajin,34.6869,40.8392
84,SYR109612,29,12,2022,Sarmada,36.1866,36.7239
85,SYR109405,29,12,2022,Ein Ayshaa,33.1905,35.9225
86,SYR109246,28,12,2022,Regiment 111 Army Base,36.2586,36.8952
87,SYR109248,28,12,2022,Olan,36.4182,37.4842
88,SYR109250,28,12,2022,Mare',36.4827,37.1965
89,SYR109251,28,12,2022,Bara,35.686,36.5424
90,SYR109252,28,12,2022,Daret Azza,36.285,36.8511
91,SYR109253,28,12,2022,Ftireh,35.6097,36.4853
92,SYR109254,28,12,2022,Kafr Noran,36.078,36.8322
93,SYR109255,28,12,2022,Ain al Arab,36.8891,38.3521
94,SYR109264,28,12,2022,Al Dibs,36.4594,38.7597
95,SYR109276,28,12,2022,Ein Issa,36.3837,38.8628
96,SYR109281,28,12,2022,Tal Jijin,36.4108,37.3411
97,SYR109282,28,12,2022,Tal Madeeq,36.4094,37.2846
98,SYR109283,28,12,2022,Abu Rasin,36.8465,40.3284
99,SYR109291,28,12,2022,Dar Al-Kabira,35.6068,36.5168
100,SYR109299,28,12,2022,Al-Malikeyyeh,37.1745,42.1403
101,SYR109303,28,12,2022,Jasim,32.9912,36.0602
102,SYR109249,28,12,2022,Bisr Elharir,32.8389,36.3404
103,SYR109294,28,12,2022,As-Salamiyeh,35.0113,37.051
104,SYR109300,28,12,2022,Tafas,32.7362,36.0673
105,SYR109220,27,12,2022,Hawayej Bumasaa,35.462,40.0795
106,SYR109222,27,12,2022,Ftireh,35.6097,36.4853
107,SYR109223,27,12,2022,Kansafra,35.6599,36.4849
108,SYR109224,27,12,2022,Majdaliya,35.8345,36.6775
109,SYR109225,27,12,2022,A'Sforiyeh,36.6242,40.363
110,SYR109226,27,12,2022,Kozliyeh,36.6249,40.2253
111,SYR109227,27,12,2022,Msheirfeh Remo,36.6057,40.1223
112,SYR109228,27,12,2022,Tal Al-Laban,36.614,40.2018
113,SYR109229,27,12,2022,Al Asadiyah,36.7758,40.1283
114,SYR109230,27,12,2022,Eastern Tall Ward,36.7975,40.3465
115,SYR109231,27,12,2022,Um Harmala,36.6589,40.0062
116,SYR109232,27,12,2022,Regiment 46 - Military Base,36.1239,36.888
117,SYR109233,27,12,2022,Hazarin,35.5998,36.5267
118,SYR109234,27,12,2022,Tadaf,36.3479,37.5294
119,SYR109235,27,12,2022,Jarablus,36.8145,38.0099
120,SYR109236,27,12,2022,As-Sanamayn,33.0711,36.1833
121,SYR109237,27,12,2022,Mahjeh,32.9583,36.2222
122,SYR109238,27,12,2022,Al-Na'ema,32.6334,36.1616
123,SYR109239,27,12,2022,Jizeh,32.5684,36.3154
124,SYR109240,27,12,2022,Nawa,32.8882,36.041
125,SYR109221,27,12,2022,Al Tufahiya,35.7806,35.992
126,SYR109754,27,12,2022,Aleppo,36.206,37.1524
127,SYR109901,26,12,2022,Busra Esh-Sham,32.5146,36.4779
128,SYR109903,26,12,2022,Basufan,36.3411,36.8736
129,SYR109904,26,12,2022,Regiment 46 - Military Base,36.1239,36.888
130,SYR109905,26,12,2022,Nahj,32.7037,35.9881
131,SYR109907,26,12,2022,As-Sanamayn,33.0711,36.1833
132,SYR109908,26,12,2022,Al-Na'ema,32.6334,36.1616
133,SYR109912,26,12,2022,Shiheil,35.092,40.4543
134,SYR109913,26,12,2022,Tell Abiad,36.6978,38.9548
135,SYR109900,26,12,2022,Ar-Raqqa - Al-Dar'eiyah,35.9607,38.9854
136,SYR109906,26,12,2022,Eastern Ghariyeh,32.6782,36.2581
137,SYR109909,26,12,2022,Gharanij,34.7863,40.7181
138,SYR109910,26,12,2022,Jasmi,35.5194,40.6883
139,SYR109911,26,12,2022,Al-Hawayij,35.0574,40.4924
140,SYR109914,26,12,2022,Al-Rasafah,35.6288,38.7581
141,SYR109916,26,12,2022,Sha'ab,32.5277,36.9711
142,SYR109920,26,12,2022,Tal Shihab,32.6892,35.9845
143,SYR109925,26,12,2022,Al-Hasakeh,36.5054,40.7429
144,SYR110128,26,12,2022,Al Qusayr,34.5078,36.5803
145,SYR110130,26,12,2022,Al Dab'a,34.5505,36.6133
146,SYR110157,26,12,2022,Burj Haydar,36.343,36.9029
147,SYR110158,26,12,2022,Barad,36.3849,36.8981
148,SYR110161,26,12,2022,Mashhad Ruhin,36.2691,36.7463
149,SYR110189,26,12,2022,Deir-ez-Zor,35.3319,40.1461
150,SYR110155,26,12,2022,Al Tabqa,35.8302,38.54
151,SYR109183,25,12,2022,Abu Hamam,34.8351,40.6682
152,SYR109186,25,12,2022,Haddada,35.7612,36.1794
153,SYR109187,25,12,2022,Mashekh,35.1923,40.4701
154,SYR109188,25,12,2022,Al-Rasafah,35.6288,38.7581
155,SYR109189,25,12,2022,Basira,35.158,40.4277
156,SYR109190,25,12,2022,Azaz,36.5849,37.0432
157,SYR109191,25,12,2022,Jabal al-Akrad,35.7558,36.1772
158,SYR109195,25,12,2022,Bara,35.686,36.5424
159,SYR109196,25,12,2022,Fleifel,35.5888,36.4562
160,SYR109197,25,12,2022,Ftireh,35.6097,36.4853
161,SYR109198,25,12,2022,Kafr Oweid,35.6282,36.4575
162,SYR109199,25,12,2022,Kansafra,35.6599,36.4849
163,SYR109200,25,12,2022,Sfuhen,35.6073,36.4645
164,SYR109201,25,12,2022,Tanab,36.4965,37.0035
165,SYR109202,25,12,2022,Kozliyeh,36.6249,40.2253
166,SYR109203,25,12,2022,Tell Abiad,36.6978,38.9548
