Region,RefPop
Aleppo,886515
Deir-ez-Zor,191287
Idleb,148637
Quneitra,1802
Lattakia,42329
Al-Hasakeh,143928
Homs,82584
Ar-Raqqa,228142
Rural Damascus,53861
Tartous,3856
As-Sweida,2752
Hama,7193
Dar'a,88039
Damascus,147
