Tick;Step;DateTime;ID
0;0;2021-01-01T11:00:00.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
0;0;2021-01-01T11:00:00.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
0;0;2021-01-01T11:00:00.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
1;1;2021-01-01T11:00:01.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
1;1;2021-01-01T11:00:01.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
1;1;2021-01-01T11:00:01.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
2;2;2021-01-01T11:00:02.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
2;2;2021-01-01T11:00:02.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
2;2;2021-01-01T11:00:02.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
3;3;2021-01-01T11:00:03.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
3;3;2021-01-01T11:00:03.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
3;3;2021-01-01T11:00:03.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
4;4;2021-01-01T11:00:04.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
4;4;2021-01-01T11:00:04.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
4;4;2021-01-01T11:00:04.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
5;5;2021-01-01T11:00:05.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
5;5;2021-01-01T11:00:05.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
5;5;2021-01-01T11:00:05.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
6;6;2021-01-01T11:00:06.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
6;6;2021-01-01T11:00:06.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
6;6;2021-01-01T11:00:06.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
7;7;2021-01-01T11:00:07.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
7;7;2021-01-01T11:00:07.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
7;7;2021-01-01T11:00:07.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
8;8;2021-01-01T11:00:08.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
8;8;2021-01-01T11:00:08.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
8;8;2021-01-01T11:00:08.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
9;9;2021-01-01T11:00:09.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
9;9;2021-01-01T11:00:09.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
9;9;2021-01-01T11:00:09.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
10;10;2021-01-01T11:00:10.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
10;10;2021-01-01T11:00:10.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
10;10;2021-01-01T11:00:10.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
11;11;2021-01-01T11:00:11.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
11;11;2021-01-01T11:00:11.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
11;11;2021-01-01T11:00:11.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
12;12;2021-01-01T11:00:12.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
12;12;2021-01-01T11:00:12.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
12;12;2021-01-01T11:00:12.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
13;13;2021-01-01T11:00:13.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
13;13;2021-01-01T11:00:13.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
13;13;2021-01-01T11:00:13.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
14;14;2021-01-01T11:00:14.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
14;14;2021-01-01T11:00:14.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
14;14;2021-01-01T11:00:14.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
15;15;2021-01-01T11:00:15.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
15;15;2021-01-01T11:00:15.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
15;15;2021-01-01T11:00:15.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
16;16;2021-01-01T11:00:16.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
16;16;2021-01-01T11:00:16.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
16;16;2021-01-01T11:00:16.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
17;17;2021-01-01T11:00:17.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
17;17;2021-01-01T11:00:17.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
17;17;2021-01-01T11:00:17.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
18;18;2021-01-01T11:00:18.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
18;18;2021-01-01T11:00:18.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
18;18;2021-01-01T11:00:18.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
19;19;2021-01-01T11:00:19.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
19;19;2021-01-01T11:00:19.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
19;19;2021-01-01T11:00:19.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
20;20;2021-01-01T11:00:20.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
20;20;2021-01-01T11:00:20.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
20;20;2021-01-01T11:00:20.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
21;21;2021-01-01T11:00:21.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
21;21;2021-01-01T11:00:21.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
21;21;2021-01-01T11:00:21.0000000+01:00;c22f7093-17a5-4b05-9ed0-2e17b3c09fad
22;22;2021-01-01T11:00:22.0000000+01:00;30999cce-7d01-4f51-bcb7-9aa210e3543d
22;22;2021-01-01T11:00:22.0000000+01:00;e7571d08-ebcc-45b1-b118-483dab81a912
