Region,RefPop
Aleppo,897771
Deir-ez-Zor,191480
Idleb,138024
Quneitra,4263
Lattakia,43038
Al-Hasakeh,144009
Homs,77166
Ar-Raqqa,226773
Rural Damascus,59373
Tartous,3664
As-Sweida,1050
Hama,7067
Dar'a,87246
Damascus,148
