Region,RefPop
Aleppo,887711
Deir-ez-Zor,191336
Idleb,148646
Quneitra,4645
Lattakia,41705
Al-Hasakeh,143987
Homs,77235
Ar-Raqqa,226359
Rural Damascus,60587
Tartous,4651
As-Sweida,2282
Hama,6079
Dar'a,85716
Damascus,133
