Region,RefPop
Aleppo,865633
Deir-ez-Zor,191264
Idleb,171260
Quneitra,4609
Lattakia,42572
Al-Hasakeh,143957
Homs,77671
Ar-Raqqa,226432
Rural Damascus,58890
Tartous,3611
As-Sweida,2384
Hama,6997
Dar'a,85653
Damascus,139
