Region,RefPop
Aleppo,908657
Deir-ez-Zor,191277
Idleb,126539
Quneitra,4368
Lattakia,42516
Al-Hasakeh,144011
Homs,81824
Ar-Raqqa,228076
Rural Damascus,54631
Tartous,3642
As-Sweida,3923
Hama,7238
Dar'a,84239
Damascus,131
