Region,RefPop
Aleppo,831911
Deir-ez-Zor,191223
Idleb,197588
Quneitra,3820
Lattakia,41842
Al-Hasakeh,144050
Homs,80888
Ar-Raqqa,231920
Rural Damascus,54570
Tartous,3575
As-Sweida,568
Hama,10777
Dar'a,88205
Damascus,135
