Region,RefPop
Aleppo,910054
Deir-ez-Zor,191266
Idleb,126648
Quneitra,4464
Lattakia,42748
Al-Hasakeh,143940
Homs,77884
Ar-Raqqa,226510
Rural Damascus,58713
Tartous,3550
As-Sweida,2007
Hama,6985
Dar'a,86153
Damascus,150
