Region,RefPop
Aleppo,841063
Deir-ez-Zor,189987
Idleb,194847
Quneitra,4467
Lattakia,43391
Al-Hasakeh,145488
Homs,75383
Ar-Raqqa,226161
Rural Damascus,61626
Tartous,3752
As-Sweida,2593
Hama,6691
Dar'a,85482
Damascus,141
