Region,RefPop
Aleppo,916160
Deir-ez-Zor,191433
Idleb,117506
Quneitra,4171
Lattakia,42247
Al-Hasakeh,144558
Homs,71967
Ar-Raqqa,228708
Rural Damascus,59422
Tartous,3665
As-Sweida,2897
Hama,12739
Dar'a,85352
Damascus,247
