Region,RefPop
Aleppo,909402
Deir-ez-Zor,191282
Idleb,125962
Quneitra,1841
Lattakia,42581
Al-Hasakeh,144014
Homs,82126
Ar-Raqqa,227955
Rural Damascus,54265
Tartous,3528
As-Sweida,3443
Hama,7242
Dar'a,87289
Damascus,142
