Region,RefPop
Aleppo,1047921
Deir-ez-Zor,81209
Idleb,499738
Quneitra,1488
Lattakia,11317
Al-Hasakeh,87230
Homs,103261
Ar-Raqqa,105466
Rural Damascus,122242
Tartous,7626
As-Sweida,4722
Hama,21797
Dar'a,253815
Damascus,59
