Region,RefPop
Aleppo,911898
Deir-ez-Zor,191252
Idleb,122931
Quneitra,4558
Lattakia,43072
Al-Hasakeh,143951
Homs,78593
Ar-Raqqa,228091
Rural Damascus,57730
Tartous,3551
As-Sweida,549
Hama,7255
Dar'a,87506
Damascus,135
