Region,RefPop
Aleppo,820568
Deir-ez-Zor,184659
Idleb,215892
Quneitra,3850
Lattakia,41956
Al-Hasakeh,150705
Homs,78447
Ar-Raqqa,226902
Rural Damascus,61060
Tartous,3894
As-Sweida,3204
Hama,6248
Dar'a,83558
Damascus,129
