Region,RefPop
Aleppo,882843
Deir-ez-Zor,191320
Idleb,147048
Quneitra,1740
Lattakia,34808
Al-Hasakeh,143949
Homs,76842
Ar-Raqqa,231870
Rural Damascus,59045
Tartous,3568
As-Sweida,18223
Hama,17049
Dar'a,72621
Damascus,146
