Region,RefPop
Aleppo,883248
Deir-ez-Zor,191329
Idleb,147988
Quneitra,2935
Lattakia,33823
Al-Hasakeh,143947
Homs,83016
Ar-Raqqa,231935
Rural Damascus,53417
Tartous,3488
As-Sweida,15093
Hama,16224
Dar'a,74475
Damascus,154
