Region,RefPop
Aleppo,824467
Deir-ez-Zor,191276
Idleb,215664
Quneitra,4620
Lattakia,37428
Al-Hasakeh,143940
Homs,80893
Ar-Raqqa,228199
Rural Damascus,55161
Tartous,3815
As-Sweida,12513
Hama,7524
Dar'a,75433
Damascus,139
