Region,RefPop
Aleppo,908134
Deir-ez-Zor,191279
Idleb,125956
Quneitra,1713
Lattakia,42535
Al-Hasakeh,144093
Homs,81663
Ar-Raqqa,229153
Rural Damascus,54787
Tartous,3572
As-Sweida,3770
Hama,7179
Dar'a,87091
Damascus,147
