Region,RefPop
Aleppo,910058
Deir-ez-Zor,191287
Idleb,124977
Quneitra,4568
Lattakia,42800
Al-Hasakeh,143999
Homs,82012
Ar-Raqqa,228130
Rural Damascus,54314
Tartous,3501
As-Sweida,2254
Hama,7277
Dar'a,85745
Damascus,150
