Region,RefPop
Aleppo,905560
Deir-ez-Zor,191342
Idleb,125418
Quneitra,1302
Lattakia,43093
Al-Hasakeh,143933
Homs,81971
Ar-Raqqa,231820
Rural Damascus,54307
Tartous,3504
As-Sweida,18195
Hama,7419
Dar'a,73063
Damascus,145
