Region,RefPop
Aleppo,872093
Deir-ez-Zor,46440
Idleb,199232
Quneitra,4183
Lattakia,29188
Al-Hasakeh,464833
Homs,94078
Ar-Raqqa,33738
Rural Damascus,68242
Tartous,1107
As-Sweida,46977
Hama,19483
Dar'a,1306
Damascus,172
