Region,RefPop
Aleppo,822528
Deir-ez-Zor,191274
Idleb,212187
Quneitra,3947
Lattakia,43125
Al-Hasakeh,144116
Homs,78556
Ar-Raqqa,227890
Rural Damascus,57717
Tartous,3564
As-Sweida,242
Hama,7336
Dar'a,88437
Damascus,153
