Region,RefPop
Aleppo,874618
Deir-ez-Zor,191248
Idleb,161990
Quneitra,4364
Lattakia,42400
Al-Hasakeh,143940
Homs,79131
Ar-Raqqa,227172
Rural Damascus,54461
Tartous,3415
As-Sweida,1374
Hama,10019
Dar'a,86889
Damascus,51
