Region,RefPop
Aleppo,864580
Deir-ez-Zor,186126
Idleb,189252
Quneitra,4722
Lattakia,24254
Al-Hasakeh,149456
Homs,76776
Ar-Raqqa,227335
Rural Damascus,54462
Tartous,2285
As-Sweida,1078
Hama,14129
Dar'a,86468
Damascus,149
