Region,RefPop
Aleppo,907384
Deir-ez-Zor,191270
Idleb,126619
Quneitra,1708
Lattakia,42689
Al-Hasakeh,144201
Homs,82590
Ar-Raqqa,228992
Rural Damascus,53786
Tartous,3506
As-Sweida,3885
Hama,7327
Dar'a,86977
Damascus,138
